WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5050
 * Running on http://10.124.195.66:5050
Press CTRL+C to quit
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 347-889-187
127.0.0.1 - - [17/Jun/2026 20:21:29] "GET / HTTP/1.1" 302 -
127.0.0.1 - - [17/Jun/2026 20:21:30] "GET /jugador/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:21:30] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:30] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:21:30] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:30] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:30] "GET /jugador/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:21:30] "GET /jugador/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:21:33] "GET /chat/global HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:21:33] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:33] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:33] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:33] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:34] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:21:34] "GET /jugador/explorar HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:21:35] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:35] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:35] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:21:35] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:24] "GET /chat/global HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:24] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:24] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:24] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:24] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:25] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:27] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:29] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:32] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:33] "POST /chat/api/enviar HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:33] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:34] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:37] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:40] "GET /chat/api/mensajes HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:40] "GET /jugador/explorar HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:40] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:40] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:40] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:40] "GET /static/js/world-chat.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:43] "GET /chat/global HTTP/1.1" 200 -
127.0.0.1 - - [17/Jun/2026 20:22:43] "GET /static/css/games_sphere.css?v=6 HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:43] "GET /static/js/feed-interactions.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Jun/2026 20:22:43] "GET /static/css/glassmorphism.css?v=7 HTTP/1.1" 304 -
